,Episode,Reward
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-18.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-18.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-18.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-18.0
0,0,-19.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-18.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-17.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-18.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-19.0
0,0,-20.0
0,0,-20.0
0,0,-20.0
0,0,-19.0
0,0,-21.0
0,0,-21.0
0,0,-17.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-18.0
0,0,-18.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-19.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-21.0
0,0,-21.0
0,0,-20.0
0,0,-21.0
0,0,-19.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-18.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-19.0
1,1,-19.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-17.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-18.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-18.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-18.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-19.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-20.0
1,1,-17.0
1,1,-19.0
1,1,-20.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-19.0
1,1,-19.0
1,1,-20.0
1,1,-18.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-19.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-19.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-20.0
1,1,-21.0
1,1,-21.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-17.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-21.0
1,1,-17.0
1,1,-19.0
1,1,-20.0
1,1,-21.0
1,1,-17.0
1,1,-19.0
1,1,-21.0
1,1,-18.0
1,1,-18.0
1,1,-20.0
1,1,-19.0
1,1,-19.0
1,1,-19.0
1,1,-21.0
1,1,-18.0
1,1,-19.0
1,1,-17.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-19.0
1,1,-21.0
1,1,-16.0
1,1,-19.0
1,1,-19.0
1,1,-21.0
1,1,-19.0
1,1,-20.0
1,1,-19.0
1,1,-18.0
1,1,-19.0
1,1,-19.0
1,1,-21.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-20.0
1,1,-17.0
1,1,-21.0
1,1,-18.0
1,1,-18.0
1,1,-17.0
1,1,-19.0
1,1,-17.0
1,1,-19.0
1,1,-19.0
1,1,-18.0
1,1,-20.0
1,1,-20.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-18.0
2,2,-20.0
2,2,-19.0
2,2,-19.0
2,2,-20.0
2,2,-17.0
2,2,-20.0
2,2,-20.0
2,2,-20.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-20.0
2,2,-19.0
2,2,-21.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-17.0
2,2,-18.0
2,2,-20.0
2,2,-18.0
2,2,-21.0
2,2,-18.0
2,2,-20.0
2,2,-17.0
2,2,-17.0
2,2,-15.0
2,2,-18.0
2,2,-19.0
2,2,-15.0
2,2,-19.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-19.0
2,2,-17.0
2,2,-16.0
2,2,-20.0
2,2,-21.0
2,2,-20.0
2,2,-18.0
2,2,-17.0
2,2,-19.0
2,2,-17.0
2,2,-19.0
2,2,-19.0
2,2,-20.0
2,2,-18.0
2,2,-17.0
2,2,-15.0
2,2,-17.0
2,2,-18.0
2,2,-18.0
2,2,-14.0
2,2,-20.0
2,2,-18.0
2,2,-19.0
2,2,-19.0
2,2,-20.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-17.0
2,2,-20.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-19.0
2,2,-20.0
2,2,-16.0
2,2,-19.0
2,2,-17.0
2,2,-17.0
2,2,-17.0
2,2,-20.0
2,2,-17.0
2,2,-17.0
2,2,-19.0
2,2,-20.0
2,2,-19.0
2,2,-19.0
2,2,-17.0
2,2,-20.0
2,2,-21.0
2,2,-16.0
2,2,-18.0
2,2,-17.0
2,2,-18.0
2,2,-20.0
2,2,-19.0
2,2,-16.0
2,2,-16.0
2,2,-19.0
2,2,-11.0
2,2,-14.0
2,2,-19.0
2,2,-19.0
2,2,-18.0
2,2,-17.0
2,2,-20.0
2,2,-16.0
2,2,-14.0
2,2,-19.0
2,2,-20.0
2,2,-18.0
2,2,-16.0
2,2,-17.0
2,2,-19.0
2,2,-16.0
2,2,-19.0
2,2,-18.0
2,2,-17.0
2,2,-19.0
2,2,-18.0
2,2,-19.0
2,2,-16.0
2,2,-20.0
2,2,-16.0
2,2,-19.0
2,2,-19.0
2,2,-20.0
2,2,-18.0
2,2,-17.0
2,2,-19.0
2,2,-18.0
2,2,-13.0
2,2,-16.0
2,2,-16.0
2,2,-18.0
2,2,-18.0
2,2,-14.0
2,2,-18.0
2,2,-18.0
3,3,-16.0
3,3,-15.0
3,3,-16.0
3,3,-20.0
3,3,-18.0
3,3,-18.0
3,3,-17.0
3,3,-16.0
3,3,-15.0
3,3,-18.0
3,3,-17.0
3,3,-17.0
3,3,-19.0
3,3,-18.0
3,3,-16.0
3,3,-20.0
3,3,-16.0
3,3,-18.0
3,3,-16.0
3,3,-16.0
3,3,-17.0
3,3,-17.0
3,3,-19.0
3,3,-15.0
3,3,-17.0
3,3,-15.0
3,3,-21.0
3,3,-18.0
3,3,-16.0
3,3,-15.0
3,3,-18.0
3,3,-15.0
3,3,-15.0
3,3,-17.0
3,3,-17.0
3,3,-20.0
3,3,-19.0
3,3,-16.0
3,3,-16.0
3,3,-18.0
3,3,-17.0
3,3,-18.0
3,3,-20.0
3,3,-13.0
3,3,-15.0
3,3,-14.0
3,3,-18.0
3,3,-16.0
3,3,-14.0
3,3,-19.0
3,3,-16.0
3,3,-16.0
3,3,-19.0
3,3,-16.0
3,3,-18.0
3,3,-20.0
3,3,-16.0
3,3,-17.0
3,3,-17.0
3,3,-18.0
3,3,-16.0
3,3,-17.0
3,3,-16.0
3,3,-14.0
3,3,-19.0
3,3,-14.0
3,3,-14.0
3,3,-16.0
3,3,-18.0
3,3,-18.0
3,3,-13.0
3,3,-15.0
3,3,-17.0
3,3,-15.0
3,3,-17.0
3,3,-16.0
3,3,-16.0
3,3,-17.0
3,3,-15.0
3,3,-15.0
3,3,-20.0
3,3,-20.0
3,3,-15.0
3,3,-15.0
3,3,-11.0
3,3,-17.0
3,3,-15.0
3,3,-17.0
3,3,-17.0
3,3,-17.0
3,3,-18.0
3,3,-14.0
3,3,-16.0
3,3,-16.0
3,3,-11.0
3,3,-19.0
3,3,-13.0
3,3,-13.0
3,3,-17.0
3,3,-11.0
3,3,-15.0
3,3,-18.0
3,3,-18.0
3,3,-17.0
3,3,-15.0
3,3,-11.0
3,3,-18.0
3,3,-18.0
3,3,-16.0
3,3,-13.0
3,3,-18.0
4,4,-19.0
4,4,-18.0
4,4,-13.0
4,4,-17.0
4,4,-14.0
4,4,-15.0
4,4,-18.0
4,4,-18.0
4,4,-16.0
4,4,-14.0
4,4,-11.0
4,4,-17.0
4,4,-15.0
4,4,-12.0
4,4,-18.0
4,4,-17.0
4,4,-12.0
4,4,-12.0
4,4,-16.0
4,4,-18.0
4,4,-20.0
4,4,-15.0
4,4,-14.0
4,4,-14.0
4,4,-18.0
4,4,-15.0
4,4,-14.0
4,4,-15.0
4,4,-12.0
4,4,-18.0
4,4,-14.0
4,4,-14.0
4,4,-17.0
4,4,-18.0
4,4,-15.0
4,4,-14.0
4,4,-15.0
4,4,-18.0
4,4,-17.0
4,4,-17.0
4,4,-17.0
4,4,-14.0
4,4,-20.0
4,4,-12.0
4,4,-11.0
4,4,-15.0
4,4,-15.0
4,4,-16.0
4,4,-17.0
4,4,-15.0
4,4,-13.0
4,4,-18.0
4,4,-13.0
4,4,-12.0
4,4,-16.0
4,4,-18.0
4,4,-11.0
4,4,-19.0
4,4,-13.0
4,4,-15.0
4,4,-12.0
4,4,-13.0
4,4,-16.0
4,4,-17.0
4,4,-18.0
4,4,-6.0
4,4,-16.0
4,4,-12.0
4,4,-14.0
4,4,-16.0
4,4,-18.0
4,4,-17.0
4,4,-12.0
4,4,-17.0
4,4,-19.0
4,4,-18.0
4,4,-13.0
4,4,-13.0
4,4,-12.0
4,4,-20.0
4,4,-16.0
4,4,-13.0
4,4,-12.0
4,4,-9.0
4,4,-8.0
4,4,-14.0
4,4,-17.0
4,4,-14.0
4,4,-20.0
4,4,-18.0
4,4,-15.0
5,5,-14.0
5,5,-12.0
5,5,-15.0
5,5,-16.0
5,5,-16.0
5,5,-15.0
5,5,-14.0
5,5,-10.0
5,5,-16.0
5,5,-9.0
5,5,-14.0
5,5,-12.0
5,5,-14.0
5,5,-16.0
5,5,-9.0
5,5,-16.0
5,5,-17.0
5,5,-17.0
5,5,-15.0
5,5,-16.0
5,5,-14.0
5,5,-15.0
5,5,-19.0
5,5,-14.0
5,5,-11.0
5,5,-15.0
5,5,-11.0
5,5,-15.0
5,5,-14.0
5,5,-9.0
5,5,-16.0
5,5,-14.0
5,5,-16.0
5,5,-17.0
5,5,-13.0
5,5,-9.0
5,5,-17.0
5,5,-14.0
5,5,-17.0
5,5,-12.0
5,5,-13.0
5,5,-13.0
5,5,-13.0
5,5,-17.0
5,5,-16.0
5,5,-12.0
5,5,-11.0
5,5,-12.0
5,5,-11.0
5,5,-11.0
5,5,-12.0
5,5,-11.0
5,5,-12.0
5,5,-12.0
5,5,-12.0
5,5,-13.0
5,5,-12.0
5,5,-16.0
5,5,-18.0
5,5,-14.0
5,5,-12.0
5,5,-17.0
5,5,-18.0
5,5,-11.0
5,5,-14.0
5,5,-15.0
5,5,-9.0
5,5,-12.0
5,5,-8.0
5,5,-7.0
5,5,-10.0
5,5,-13.0
5,5,-13.0
5,5,-12.0
5,5,-15.0
5,5,-10.0
5,5,-11.0
5,5,-9.0
6,6,-10.0
6,6,-11.0
6,6,-14.0
6,6,-15.0
6,6,-13.0
6,6,-17.0
6,6,-11.0
6,6,-10.0
6,6,-13.0
6,6,-16.0
6,6,-11.0
6,6,-15.0
6,6,-13.0
6,6,-11.0
6,6,-12.0
6,6,-18.0
6,6,-14.0
6,6,-11.0
6,6,-14.0
6,6,-12.0
6,6,-15.0
6,6,-14.0
6,6,-9.0
6,6,-4.0
6,6,-8.0
6,6,-8.0
6,6,-11.0
6,6,1.0
6,6,-10.0
6,6,-7.0
6,6,-12.0
6,6,-15.0
6,6,-14.0
6,6,2.0
6,6,-13.0
6,6,-9.0
6,6,-8.0
6,6,-9.0
6,6,-9.0
6,6,-14.0
6,6,-10.0
6,6,-3.0
6,6,-11.0
6,6,-9.0
6,6,-6.0
6,6,-14.0
6,6,-8.0
6,6,-14.0
6,6,-9.0
6,6,-1.0
6,6,-18.0
6,6,-8.0
6,6,-4.0
6,6,-2.0
6,6,-9.0
6,6,-8.0
6,6,-3.0
6,6,-10.0
6,6,-6.0
6,6,-7.0
6,6,-12.0
6,6,-9.0
6,6,-10.0
6,6,3.0
6,6,-12.0
6,6,-5.0
6,6,-7.0
6,6,-7.0
6,6,-1.0
7,7,-5.0
7,7,-8.0
7,7,-7.0
7,7,-5.0
7,7,-7.0
7,7,-8.0
7,7,-5.0
7,7,-9.0
7,7,-11.0
7,7,-7.0
7,7,-3.0
7,7,-7.0
7,7,-10.0
7,7,-9.0
7,7,-4.0
7,7,-2.0
7,7,-8.0
7,7,-4.0
7,7,-9.0
7,7,-9.0
7,7,-15.0
7,7,-6.0
7,7,-14.0
7,7,-6.0
7,7,-15.0
7,7,-9.0
7,7,-14.0
7,7,-13.0
7,7,-9.0
7,7,-7.0
7,7,-6.0
7,7,-8.0
7,7,-13.0
7,7,-13.0
7,7,-7.0
7,7,-9.0
7,7,-9.0
7,7,-15.0
7,7,-10.0
7,7,-11.0
7,7,-10.0
7,7,-9.0
7,7,-15.0
7,7,-14.0
7,7,-12.0
7,7,-11.0
7,7,-11.0
7,7,-5.0
7,7,-7.0
7,7,-15.0
7,7,-10.0
7,7,-14.0
7,7,5.0
7,7,-5.0
7,7,-4.0
7,7,-9.0
7,7,-1.0
7,7,-10.0
7,7,-9.0
7,7,-14.0
7,7,-12.0
7,7,-9.0
7,7,-13.0
7,7,-5.0
7,7,-9.0
7,7,-3.0
7,7,-15.0
8,8,-10.0
8,8,-13.0
8,8,-13.0
8,8,-8.0
8,8,-12.0
8,8,-11.0
8,8,-11.0
8,8,-5.0
8,8,-5.0
8,8,-7.0
8,8,-4.0
8,8,-6.0
8,8,-3.0
8,8,-7.0
8,8,-11.0
8,8,-17.0
8,8,-6.0
8,8,-4.0
8,8,-7.0
8,8,-8.0
8,8,-2.0
8,8,-5.0
8,8,-5.0
8,8,-7.0
8,8,-2.0
8,8,5.0
8,8,6.0
8,8,-3.0
8,8,-10.0
8,8,3.0
8,8,-3.0
8,8,3.0
8,8,-7.0
8,8,-2.0
8,8,5.0
8,8,2.0
8,8,10.0
8,8,7.0
8,8,9.0
8,8,9.0
8,8,5.0
8,8,2.0
8,8,4.0
8,8,1.0
8,8,6.0
8,8,-7.0
8,8,1.0
8,8,-3.0
8,8,-1.0
8,8,-11.0
8,8,4.0
8,8,-1.0
8,8,-5.0
8,8,-14.0
8,8,-4.0
8,8,1.0
8,8,2.0
8,8,-2.0
8,8,-2.0
9,9,-8.0
9,9,-3.0
9,9,3.0
9,9,4.0
9,9,11.0
9,9,5.0
9,9,9.0
9,9,9.0
9,9,5.0
9,9,10.0
9,9,6.0
9,9,15.0
9,9,12.0
9,9,5.0
9,9,8.0
9,9,4.0
9,9,3.0
9,9,3.0
9,9,-1.0
9,9,9.0
9,9,7.0
9,9,-2.0
9,9,-3.0
9,9,9.0
9,9,10.0
9,9,2.0
9,9,-8.0
9,9,8.0
9,9,9.0
9,9,2.0
9,9,3.0
9,9,3.0
9,9,12.0
9,9,10.0
9,9,2.0
9,9,6.0
9,9,5.0
9,9,1.0
9,9,5.0
9,9,6.0
9,9,-2.0
9,9,2.0
9,9,4.0
9,9,13.0
9,9,3.0
